wilayah,nama_puskesmas,alamat_puskesmas,,,,,,,,,,,,,
Jakarta Barat,KEL. Sukabumi Selatan,Jl. Pos Pengumben RT 08/03,,,,,,,,,,,,,
Jakarta Barat,KEL. Sukabumi Utara,Jl. Harum Raya RT 08/07,,,,,,,,,,,,,
Jakarta Barat,KEL. Kelapa Dua,Jl. Sasak III RT 01/02,,,,,,,,,,,,,
Jakarta Barat,KEL. Kedoya Utara,Jl. Daan Mogot Pesing Koneng RT 03/02 No. 12,,,,,,,,,,,,,
Jakarta Barat,KEC. Palmerah ,Jl. Palmerah Barat 120,,,,,,,,,,,,,
Jakarta Barat,KEL. Palmerah I ,Jl. Kembangan Pulo No. 20 RT 12 /03,,,,,,,,,,,,,
Jakarta Barat,KEL. Palmerah II,Jl.Kemanggisan Raya,,,,,,,,,,,,,
Jakarta Barat,KEL. Jati Pulo I,Jl. Waru No. 1 A,,,,,,,,,,,,,
Jakarta Barat,KEL. Jati Pulo II,Jl. Semangka II RT 06/07,,,,,,,,,,,,,
Jakarta Barat,KEL. Kota Bambu Selatan,Jl. KS. Tubun I/27,,,,,,,,,,,,,
Jakarta Barat,KEL. Kota Bambu Utara,Jl. Pondok Bandung RT 05/05,,,,,,,,,,,,,
Jakarta Barat,KEL. Slipi I,Jl. Petamburan III RT 013/01,,,,,,,,,,,,,
Jakarta Barat,KEL. Slipi II,Jl. K.S. Tubun IV  No 140,,,,,,,,,,,,,
Jakarta Barat,KEL. Kemanggisan,Jl. Anggrek Garuda D / 4,,,,,,,,,,,,,
Jakarta Barat,Kec. Grogol Petamburan,Jl.TB Angke komp duta Mas,,,,,,,,,,,,,
Jakarta Barat,KEL. Grogol I,Jl. Nurdin Raya I No. 35,,,,,,,,,,,,,
Jakarta Barat,KEL. Grogol II,Jl. Rawa Bahagia I No 32 RT 07/02,,,,,,,,,,,,,
Jakarta Barat,KEL. Grogol III,Jl.Nurdin,,,,,,,,,,,,,
Jakarta Barat,KEL. Jelambar I,Jl. Satria II RT 04/04,,,,,,,,,,,,,
Jakarta Barat,KEL. Jelambar II,Jl.Prof DR Latumenten IV/11,,,,,,,,,,,,,
Jakarta Barat,KEL. Jelambar Baru,Jl. Jelambar IIir,,,,,,,,,,,,,
Jakarta Barat,KEL. Tanjung Duren Selatan,Jl. Tanjung Duren Timur Dalam IV No 15A RT 01/03,,,,,,,,,,,,,
Jakarta Barat,KEL. Tanjung Duren Utara,Jl. Tanjung Duren Utara VII B / 13,,,,,,,,,,,,,
Jakarta Barat,KEL. Tomang,Jl. Tomang Pulo Macan V /40,,,,,,,,,,,,,
Jakarta Barat,KEC. Tambora,Jl. Krendang Utara No. 4,,,,,,,,,,,,,
Jakarta Barat,KEL. Pekojan I,Jl. Bandengan Utara 1 No. 47 RT 05/12,,,,,,,,,,,,,
Jakarta Barat,KEL. Pekojan II,Jl.Pekojan II/50,,,,,,,,,,,,,
Jakarta Barat,KEL. Roa Malaka,Jl. Tiang Bendera III No 62 H,,,,,,,,,,,,,
Jakarta Barat,KEL. Tambora,Jl. Tambora I / 6  RT 03/03,,,,,,,,,,,,,
Jakarta Barat,KEL. Angke,Jl. Angke Indah I Gg. VII  No 10 RT 14/02,,,,,,,,,,,,,
Jakarta Barat,KEL. Jembatan Besi,Jl. Duri baru I RT 04/04,,,,,,,,,,,,,
Jakarta Barat,KEL. Duri Utara,Jl.H.Syarif No.23,,,,,,,,,,,,,
Jakarta Barat,KEL. Kali Anyar,Jl. Kali Anyar  IV No. 10,,,,,,,,,,,,,
Jakarta Barat,Poskes Tanah Sereal,,,,,,,,,,,,,,
Jakarta Barat,KEC. Tamansari ,"Jl.Blustru No.1 , Mangga Besar dan Jl.Ubi (manajemen)",,,,,,,,,,,,,
Jakarta Barat,KEL. Keagungan,Jl. Kebon Sayur I No. 6,,,,,,,,,,,,,
Jakarta Barat,KEL. Krukut II ,Jl. Keutamaan RT 02/03 ,,,,,,,,,,,,,
Jakarta Barat,KEL. Maphar,Jl. Kebon Jeruk X No. 28 RT 07/05,,,,,,,,,,,,,
Jakarta Barat,KEL. Tamansari ,Jl. Mangga Besar IV P RT 09/05,,,,,,,,,,,,,
Jakarta Barat,Kel. Pinangsia ,,,,,,,,,,,,,,
Jakarta Barat,KEC. Cengkareng,Jl. Raya Kamal  RT 09/07,,,,,,,,,,,,,
Jakarta Barat,KEL. Cengkareng Barat I,Jl. Flamboyan no 75 RT 12/10,,,,,,,,,,,,,
Jakarta Barat,KEL. Cengkareng Barat II,Jl. Nuri V  RT 08/06,,,,,,,,,,,,,
Jakarta Barat,KEL. Rawa Buaya ,Jl. Bojong Raya RT 02/04,,,,,,,,,,,,,
Jakarta Barat,KEL. Cengkareng Timur,Jl. Raya Nurul Kamal,,,,,,,,,,,,,
Jakarta Barat,KEL. Kapuk I,Jl. Kapuk Raya  RT 03/011,,,,,,,,,,,,,
Jakarta Barat,KEL. Kapuk II,Jl. Raya Kapuk RT No 28 09/02,,,,,,,,,,,,,
Jakarta Barat,KEL. Kedaung Kali Angke,"Jl. Kali Mati No.9A, Komp. Dep Agama RT 01/03",,,,,,,,,,,,,
Jakarta Barat,KEL. Duri Kosambi I,Jl. Raya Duri Kosambi no 33 RT O11/02,,,,,,,,,,,,,
Jakarta Barat,KEL. Duri Kosambi II,Jl. Puskesmas RT 01/07 ,,,,,,,,,,,,,
Jakarta Barat,KEC. Kalideres,Jl. Tanjung Pura No.14 RT 06 RW 05 ,,,,,,,,,,,,,
Jakarta Barat,KEL. Pegadungan I,Jl. Peta Utara RT 002/06,,,,,,,,,,,,,
Jakarta Barat,KEL. Pegadungan II,Perumahan Citra III Blok E3 Rt 5 RW 13 kel Pegadungan ,,,,,,,,,,,,,
Jakarta Barat,KEL. Pegadungan IV,Jl. Komplek Perum Citra Garden II Blok M3 No.2,,,,,,,,,,,,,
Jakarta Barat,KEL. Kalideres I ,Jl. Benda Raya RT 07/01 ,,,,,,,,,,,,,
Jakarta Barat,KEL. Pegadungan III ,Jl. Raya kumbang No 45 RT 03 / 07,,,,,,,,,,,,,
Jakarta Barat,KEL. Semanan I,Jl. Semanan Raya No. 37 RT 06/07,,,,,,,,,,,,,
Jakarta Barat,KEL. Semanan II,Jl. Semanan Raya RT 05 / 03,,,,,,,,,,,,,
Jakarta Barat,KEL. Kamal,Jl. Kebon 200 RT 07 / 01,,,,,,,,,,,,,
Jakarta Barat,KEL. Kamal II ,Jl. Kp Belakang,,,,,,,,,,,,,
Jakarta Barat,KEL. Tegal Alur I,Jl. Sukatani Raya RT. 06/01,,,,,,,,,,,,,
Jakarta Barat,KEL. Tegal Alur II,Jl. Komplek Kebersihan RT 03/05 ,,,,,,,,,,,,,
Jakarta Barat,KEL. Tegal Alur III,Jl. Kayu Besar Dalam RT 05/05,,,,,,,,,,,,,
Jakarta Selatan,KEC. Tebet,Jl.Tebet Timur II Rt.006/05,,,,,,,,,,,,,
Jakarta Selatan,Kel. Tebet Barat,Jl. Tebet Barat IX / 64  RT 04/08 Jak - Sel,,,,,,,,,,,,,
Jakarta Selatan,Kel. Menteng Dalam I, Jl. Rasamala I Gg Masjid RT 03/02 Menteng Dalam Tebet,,,,,,,,,,,,,
Jakarta Selatan,Kel. Kebon Baru,Jl. Asem Baris Raya Gg IX RT 005/05,,,,,,,,,,,,,
Jakarta Selatan,Kel. Bukit Duri,Jl. Bukit Duri Tanjakan I No 15,,,,,,,,,,,,,
Jakarta Selatan,Kel. Manggarai Selatan,Jl. DR Saharjo Gg. Rambutan No. 46 RT 04/07Manggarai Selatan,,,,,,,,,,,,,
